X11,X12,X21,X22,X31,X32
37,30,49,70,65,70
37,42,53,49,74,79
42,51,40,62,70,75
41,53,51,49,55,94
40,48,42,56,74,69
38,47,51,69,76,76
39,55,44,65,57,80
41,51,49,68,65,80
40,49,52,60,62,87
,48,52,57,63,76
,52,46,68,70,82
,59,46,62,76,75
,59,43,62,64,86
,54,54,69,60,73
,63,51,61,59,88
,50,62,68,67,88
,62,55,66,67,81
,54,53,69,70,78
,71,59,70,73,88
,,58,62,55,79
,,54,55,65,83
,,48,66,69,88
,,62,70,70,94
,,65,67,73,74
,,42,82,69,85
,,62,73,62,86
,,53,69,78,82
,,62,63,74,84
,,56,82,67,80
,,71,73,63,90
,,65,75,71,78
,,71,66,74,82
,,,80,63,92
,,,63,68,95
,,,72,67,90
,,,66,73,84
,,,66,74,94
,,,77,74,97
,,,71,77,91
,,,72,67,
,,,65,73,
,,,75,69,
,,,68,85,
,,,75,64,
,,,59,77,
,,,73,61,
,,,67,71,
,,,71,77,
,,,77,77,
,,,67,81,
,,,85,75,
,,,71,81,
,,,71,83,
,,,65,78,
,,,79,88,
,,,75,85,
,,,69,82,
,,,76,77,
,,,67,88,
,,,66,92,
,,,,98,
,,,,100,
,,,,92,
,,,,85,
